recipeCode,ingredientCode,foodCode,foodFactVersionNumber,quantity,unitCode,preparationNoteVi,order
ca_nuc_kho_ca_chua,ca_chua,ca_chua,2,250,g,,2
ca_nuc_kho_ca_chua,hanh_tim,hanh_tim,2,20,g,,3
ca_nuc_kho_ca_chua,nuoc_mam,nuoc_mam,2,60,ml,,4
ca_nuc_kho_ca_chua,duong_cat,duong_cat,2,4.17,g,,5
ca_basa_kho_tieu,ca_basa,ca_basa,2,300,g,,1
ca_basa_kho_tieu,tieu_xay,tieu_xay,2,8.13,g,,2
ca_basa_kho_tieu,hanh_tim,hanh_tim,2,20,g,,3
ca_basa_kho_tieu,nuoc_mam,nuoc_mam,2,15,ml,,4
ca_basa_kho_tieu,duong_cat,duong_cat,2,4.17,g,,5
tom_rim_man,tom_the,tom_the,2,1000,g,,1
tom_rim_man,toi,toi,2,9,g,,2
tom_rim_man,nuoc_mam,nuoc_mam,2,45,ml,,3
tom_rim_man,duong_cat,duong_cat,2,37.5,g,,4
tom_rim_man,tieu_xay,tieu_xay,2,2.71,g,,5
tom_rim_man,dau_an,dau_an,2,60,ml,,6
tom_xao_bi_dao,tom_the,tom_the,2,100,g,,1
tom_xao_bi_dao,bi_dao,bi_dao,2,400,g,,2
tom_xao_bi_dao,toi,toi,2,3,g,,3
tom_xao_bi_dao,nuoc_mam,nuoc_mam,2,10,ml,,4
tom_xao_bi_dao,dau_an,dau_an,2,30,ml,,5
muc_xao_ca_chua,muc_ong,muc_ong,2,1000,g,,1
muc_xao_ca_chua,ca_chua,ca_chua,2,200,g,,2
muc_xao_ca_chua,hanh_tay,hanh_tay,2,150,g,,3
muc_xao_ca_chua,toi,toi,2,15,g,,4
muc_xao_ca_chua,nuoc_mam,nuoc_mam,2,15,ml,,5
muc_xao_ca_chua,dau_an,dau_an,2,15,ml,,6
trung_chien_hanh,trung_ga,trung_ga,2,3,item,,1
trung_chien_hanh,hanh_la,hanh_la,2,30,g,,2
trung_chien_hanh,nuoc_mam,nuoc_mam,2,2.5,ml,,3
trung_chien_hanh,tieu_xay,tieu_xay,2,0.6775,g,,4
trung_chien_hanh,dau_an,dau_an,2,15,ml,,5
trung_chien_thit_bam,trung_ga,trung_ga,2,2,item,,1
trung_chien_thit_bam,thit_bo_xay,thit_bo_xay,2,100,g,,2
trung_chien_thit_bam,hanh_la,hanh_la,2,20,g,,3
trung_chien_thit_bam,nuoc_mam,nuoc_mam,2,10,ml,,4
trung_chien_thit_bam,dau_an,dau_an,2,30,ml,,5
dau_hu_sot_ca_chua,dau_hu_trang,dau_hu_trang,2,120,g,,1
dau_hu_sot_ca_chua,ca_chua,ca_chua,2,300,g,,2
dau_hu_sot_ca_chua,hanh_la,hanh_la,2,50,g,,3
dau_hu_sot_ca_chua,toi,toi,2,10,g,,4
dau_hu_sot_ca_chua,nuoc_tuong,nuoc_tuong,2,10,ml,,5
dau_hu_sot_ca_chua,dau_an,dau_an,2,10,ml,,6
dau_hu_chien_sa,dau_hu_trang,dau_hu_trang,2,400,g,,1
dau_hu_chien_sa,sa,sa,2,100,g,,2
dau_hu_chien_sa,ot_hiem,ot_hiem,2,20,g,,3
dau_hu_chien_sa,muoi,muoi,2,2,g,,4
dau_hu_chien_sa,dau_an,dau_an,2,130,ml,,5
dau_hu_kho_nam,dau_hu_trang,dau_hu_trang,2,300,g,,1
dau_hu_kho_nam,nam_rom,nam_rom,2,400,g,,2
dau_hu_kho_nam,hanh_tim,hanh_tim,2,20,g,,3
dau_hu_kho_nam,nuoc_tuong,nuoc_tuong,2,60,ml,,4
dau_hu_kho_nam,duong_cat,duong_cat,2,25,g,,5
rau_muong_luoc,rau_muong,rau_muong,2,500,g,,1
rau_muong_luoc,muoi,muoi,2,5,g,,2
rau_muong_xao_toi,rau_muong,rau_muong,2,500,g,,1
rau_muong_xao_toi,toi,toi,2,12,g,,2
rau_muong_xao_toi,dau_an,dau_an,2,30,ml,,3
rau_muong_xao_toi,hat_nem,hat_nem,2,5,g,,4
cai_ngot_luoc,cai_ngot,cai_ngot,2,500,g,,1
cai_ngot_luoc,muoi,muoi,2,5,g,,2
bap_cai_xao,bap_cai,bap_cai,2,500,g,,1
bap_cai_xao,toi,toi,2,30,g,,2
bap_cai_xao,dau_an,dau_an,2,30,ml,,3
bap_cai_xao,hat_nem,hat_nem,2,7,g,,4
su_su_xao_ca_rot,su_su,su_su,2,600,g,,1
su_su_xao_ca_rot,ca_rot,ca_rot,2,100,g,,2
su_su_xao_ca_rot,toi,toi,2,30,g,,3
su_su_xao_ca_rot,dau_an,dau_an,2,7.5,ml,,4
su_su_xao_ca_rot,hat_nem,hat_nem,2,12.5,g,,5
muop_xao_toi,muop_huong,muop_huong,2,500,g,,1
muop_xao_toi,toi,toi,2,15,g,,2
muop_xao_toi,dau_an,dau_an,2,30,ml,,3
muop_xao_toi,hat_nem,hat_nem,2,7,g,,4
rau_den_luoc,rau_den,rau_den,2,300,g,,1
rau_den_luoc,muoi,muoi,2,6,g,,2
canh_bi_dao_thit_bam,bi_dao,bi_dao,2,300,g,,1
canh_bi_dao_thit_bam,thit_bo_xay,thit_bo_xay,2,130,g,,2
canh_bi_dao_thit_bam,hanh_la,hanh_la,2,30,g,,3
canh_bi_dao_thit_bam,hat_nem,hat_nem,2,5,g,,4
canh_bi_dao_thit_bam,muoi,muoi,2,3,g,,5
canh_chua_ca_loc,ca_loc,ca_loc,2,300,g,,1
canh_chua_ca_loc,me_chua,me_chua,2,20,g,,2
canh_chua_ca_loc,ca_chua,ca_chua,2,246,g,,3
canh_chua_ca_loc,gia_do,gia_do,2,200,g,,4
canh_chua_ca_loc,rau_ngo,rau_ngo,2,10,g,,5
